Publication Type,Authors,Book Authors,Book Editors,Book Group Authors,Author Full Names,Book Author Full Names,Group Authors,Article Title,Source Title,Book Series Title,Book Series Subtitle,Language,Document Type,Conference Title,Conference Date,Conference Location,Conference Sponsor,Conference Host,Author Keywords,Keywords Plus,Abstract,Addresses,Affiliations,Reprint Addresses,Email Addresses,Researcher Ids,ORCIDs,Funding Orgs,Funding Name Preferred,Funding Text,Cited References,Cited Reference Count,"Times Cited, WoS Core","Times Cited, All Databases",180 Day Usage Count,Since 2013 Usage Count,Publisher,Publisher City,Publisher Address,ISSN,eISSN,ISBN,Journal Abbreviation,Journal ISO Abbreviation,Publication Date,Publication Year,Issue,Part Number,Special Issue,Meeting Abstract,Start Page,End Page,Article Number,DOI,DOI Link,Book DOI,Early Access Date,Number of Pages,WoS Categories,Web of Science Index,Research Areas,IDS Number,Pubmed Id,Open Access Designations,Highly Cited Status,Hot Paper Status,Date of Export,UT (Unique WOS ID),Web of Science Record
J,"Miles, M",,,,"Miles, Malcolm",,,Representing nature: art and climate change,CULTURAL GEOGRAPHIES,,,English,Article,,,,,,art; climate-change; ecology; representation,,"Climate change is now an established scientific fact, and dealing with it may require significant shifts in consumption and economic organization. A key question is how these changes can be achieved, by regulation or shifts of consciousness on the parts of individuals. Among the means by which a shift of awareness might occur is cultural work - including the production and reception of art and literature. But does art which represents climate change distance or normalize the problem, or can new kinds of art construct new ways in which to see or intervene in the conditions and systems which produce global warming? The article considers recent exhibitions of art dealing with environmental and climate change issues in the UK and USA. Before that, the article summarizes aspects of recent relevant work on art by geographers. Looking at cases of environmentalist art, the article initially differentiates art representing climate change in dramatic images from an emerging tendency to practical intervention. It argues that art may contribute to a shift in attitudes, but wonders whether intervention-as-art is in its way another form of representation, and whether art inevitably distances whatever problems it addresses. This is an insoluble difficulty: the real is always mediated and distanced in culture, yet art may still draw attention to conditions and to the inherent contradictions they contain.","Univ Plymouth, Sch Art & Media, Plymouth PL4 8AA, Devon, England",University of Plymouth,"Miles, M (corresponding author), Univ Plymouth, Sch Art & Media, Plymouth PL4 8AA, Devon, England.",M.F.Miles@plymouth.ac.uk,,,,,,,50,42,42,3,25,SAGE PUBLICATIONS LTD,LONDON,"1 OLIVERS YARD, 55 CITY ROAD, LONDON EC1Y 1SP, ENGLAND",1474-4740,1477-0881,,CULT GEOGR,Cult. Geogr.,JAN,2010,1,,,,19,35,,10.1177/1474474009349997,http://dx.doi.org/10.1177/1474474009349997,,,17,Environmental Studies; Geography,Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI),Environmental Sciences & Ecology; Geography,549EU,,,,,12/21/22,WOS:000274029500002,View Full Record in Web of Science
J,"Dal Farra, R; Suarez, P",,,,"Dal Farra, Ricardo; Suarez, Pablo",,,RED CROSS/RED CRESCENT CLIMATE CENTRE AND BALANCE-UNBALANCE: THE ART! (sic) CLIMATE PROJECT,LEONARDO,,,English,Article,,,,,,art; climate; humanitarian; games; mosquitoes,,"The art! (sic) climate contest used art as a catalyst in helping to build bridges between sound artists and specific humanitarian actions related to climate change, with the intent of engendering a deeper awareness and creating lasting working partnerships in addressing our global environmental crisis. Both the process and the outcomes of this initiative highlight the value of integrating creative approaches into humanitarian work for complex risk management issues.","[Dal Farra, Ricardo] Concordia Univ, Hexagram, Montreal, PQ, Canada; [Dal Farra, Ricardo] CEIArtE UNTREF, Buenos Aires, DF, Argentina; [Suarez, Pablo] Red Cross Red Crescent Climate Ctr, The Hague, Netherlands",Concordia University - Canada,"Dal Farra, R (corresponding author), Concordia Univ, Hexagram, Montreal, PQ, Canada.",ricardo.dalfarra@gmail.com; suarez@climatecentre.org,,,,,,,2,1,1,0,3,MIT PRESS,CAMBRIDGE,"55 HAYWARD STREET, CAMBRIDGE, MA 02142 USA",0024-094X,1530-9282,,LEONARDO,Leonardo,OCT,2014,5,,,,493,493,,10.1162/LEON_a_00818,http://dx.doi.org/10.1162/LEON_a_00818,,,1,Art,Arts &amp; Humanities Citation Index (A&amp;HCI),Art,AP6YE,,,,,12/21/22,WOS:000342223700017,View Full Record in Web of Science
J,"Chen, MH",,,,"Chen, Mei-Hsin",,,The Contribution of Art to Climate Change Communication,REVISTA HUMANIDADES,,,Spanish,Article,,,,,,art; climate change; communication; contemporary art; psychology,SELF-DETERMINATION THEORY; PRO-ENVIRONMENTAL BEHAVIOR; HUMAN RESPONSES; INTERVENTION; IDENTITY; INSPIRATION; PERCEPTIONS; PERSUASION; ENGAGEMENT; EXPERIENCE,"This article examines how and why the climate change project needs the collaboration of artists to address climate challenges from a psychological perspective. Artists can act as buffers between the public and scientific data as well as motivate a more enriching dialogue through the impact of art that addresses climate change. In other words, artists play an increasingly significant role in both raising awareness of and engaging the public on the issue of climate. Artists can turn their works into an effective tool for climate communication thanks to a number of psychological qualities that artwork provides. The message conveyed by a work of climate change art transcends mere intellectual communication because it appeals to the viewer's emotions, invites them to contemplate and interiorize the reality of climate, inspires them and makes them aspire to make decisions and take actions that might change the future of our planet.","[Chen, Mei-Hsin] Univ Navarra, Pamplona, Spain",University of Navarra,"Chen, MH (corresponding author), Univ Navarra, Pamplona, Spain.",mchen@unav.es,"Chen, Mei-Hsin/K-2867-2017","Chen, Mei-Hsin/0000-0002-2378-2821",,,,,101,0,0,5,5,"UNIV COSTA RICA, EDITORIAL",SAN JOSE,"SEDE RODRIGO FACIO BRENES, MONTES DE OCA, SAN JOSE, 00000, COSTA RICA",2215-2253,2215-3934,,R HUMANIDAD,R. Humanidad.,JUL-DEC,2022,2,,,,,,e51060,10.15517/h.v12i2.51060,http://dx.doi.org/10.15517/h.v12i2.51060,,,18,"Humanities, Multidisciplinary",Emerging Sources Citation Index (ESCI),Arts & Humanities - Other Topics,2T9FT,,"gold, Green Submitted",,,12/21/22,WOS:000822772700002,View Full Record in Web of Science
J,"Guy, S; Henshaw, V; Heidrich, O",,,,"Guy, Simon; Henshaw, Victoria; Heidrich, Oliver",,,"Climate change, adaptation and Eco-Art in Singapore",JOURNAL OF ENVIRONMENTAL PLANNING AND MANAGEMENT,,,English,Article,,,,,,Eco-Art; climate-change; plastic waste; materials; cities,SUSTAINABLE ARCHITECTURE; WASTE; PLACE,"Eco-Art has recently emerged as a potential means to place emphasis on environmental issues such as climate change, recycling and the metabolism of the city experienced both materially and conceptually within local, regional and global contexts. Such art presents the possibility of shaping civic practices in arenas beyond those of traditional planning domains. Adopting a pragmatic approach, which recognises the contextual pluralism that exists in debates regarding climate change, this paper is interested in how Eco-Art projects encourage the re-imagining of urban spaces within the context of sustainability, and flows of materials and the recycling of plastic in art specifically.","[Guy, Simon] Univ Manchester, Sch Environm & Dev, Manchester M13 9PL, Lancs, England; [Henshaw, Victoria] Univ Sheffield, Dept Town & Reg Planning, Sheffield S10 2TN, S Yorkshire, England; [Heidrich, Oliver] Newcastle Univ, Tyndall Ctr Climate Change Res, Sch Civil Engn & Geosci, Newcastle Upon Tyne NE1 7RU, Tyne & Wear, England",University of Manchester; University of Sheffield; Newcastle University - UK,"Henshaw, V (corresponding author), Univ Sheffield, Dept Town & Reg Planning, Western Bank, Sheffield S10 2TN, S Yorkshire, England.",v.henshaw@sheffield.ac.uk,,"Guy, Simon Charles/0000-0003-1507-5067; Heidrich, Oliver/0000-0002-6581-5572",,,,,88,7,8,6,71,"ROUTLEDGE JOURNALS, TAYLOR & FRANCIS LTD",ABINGDON,"2-4 PARK SQUARE, MILTON PARK, ABINGDON OX14 4RN, OXON, ENGLAND",0964-0568,1360-0559,,J ENVIRON PLANN MAN,J. Environ. Plan. Manag.,2-Jan,2015,1,,,,39,54,,10.1080/09640568.2013.839446,http://dx.doi.org/10.1080/09640568.2013.839446,,,16,Development Studies; Regional & Urban Planning,Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI),Development Studies; Public Administration,AS7TP,,,,,12/21/22,WOS:000344457900003,View Full Record in Web of Science
J,"Baztan, J; Vanderlinden, JP; Jaffres, L; Jorgensen, B; Zhu, Z",,,,"Baztan, Juan; Vanderlinden, Jean-Paul; Jaffres, Lionel; Jorgensen, Bethany; Zhu, Zhiwei",,,Facing climate injustices: Community trust-building for climate services through arts and sciences narrative co-production,CLIMATE RISK MANAGEMENT,,,English,Article,,,,,,Climate services; Co-production; Narrative; Arts and Sciences; Transdisciplinary; Brittany,WESTERN ENGLISH-CHANNEL; GLOBAL CHANGE; TEMPERATURE; ADAPTATION; STRESSORS; KNOWLEDGE; GENDER; COASTS; PLACE,"The goal of this paper is to analyze how and with what results place-based climate service coproduction may be enacted within a community for whom climate change is not a locally salient concern. Aiming to initiate a climate-centered dialogue, a hybrid team of scientists and artists collected local narratives within the Kerourien neighbourhood, in the city of Brest in Brittany, France. Kerourien is a place known for its stigmatizing crime, poverty, marginalization and state of disrepair. Social work is higher on the agenda than climate action. The team thus acknowledged that local narratives might not make much mention of climate change, and recognized part of the work might be to shift awareness to the actual or potential, current or future, connections between everyday non-climate concerns and climate issues. Such a shift called for a practical intervention, centered on local culture. The narrative collection process was dovetailed with preparing the neighbourhood's 50th anniversary celebration and establishing a series of art performances to celebrate the neighbourhood and its residents. Non-climate and quasi-climate stories were collected, documented, and turned into art forms. The elements of climate service co-production in this process are twofold. First, they point to the ways in which non-climate change related local concerns may be mapped out in relation to climate change adaptation, showing how non-climate change concerns call for climate information. Secondly, they show how the co-production of climate services may go beyond the provision of climate information by generating procedural benefits such as local empowerment - thus generating capacities that may be mobilized to face climate change. We conclude by stressing that place-based climate service co-production for action may require questioning the nature of the services rendered, questioning the nature of place, and questioning what action entails. We offer leads for addressing these questions in ways that help realise empowerment and greater social justice.","[Baztan, Juan; Vanderlinden, Jean-Paul; Zhu, Zhiwei] Univ Paris Saclay, CEARC, UVSQ, F-78280 Guyancourt, France; [Jaffres, Lionel] Le Grain, F-29200 Brest, France; [Jorgensen, Bethany] Cornell Univ, Civ Ecol Lab, Ithaca, NY 14850 USA",UDICE-French Research Universities; Universite Paris Saclay; Cornell University,"Baztan, J (corresponding author), Univ Paris Saclay, CEARC, UVSQ, F-78280 Guyancourt, France.",juan.baztan@uvsq.fr,,"Jorgensen, Bethany/0000-0002-8216-1398",FORMAS (SE); BELSPO (BE); BMBF (DE); BMWFW (AT); IFD (DK); MINECO (ES); ANR (FR); European Union [690462],FORMAS (SE); BELSPO (BE); BMBF (DE)(Federal Ministry of Education & Research (BMBF)); BMWFW (AT); IFD (DK); MINECO (ES)(Spanish Government); ANR (FR)(French National Research Agency (ANR)); European Union(European Commission),"Thanks to All the Kerourien inhabitants for their kindness. We thank the reviewers and the guest editor for the care taken in the process of reviewing our manuscript. This paper was made in the course of the CoCliServ project. Project CoCliServ is part of ERA4CS, an ERA-NET initiated by JPI Climate, and funded by FORMAS (SE), BELSPO (BE), BMBF (DE), BMWFW (AT), IFD (DK), MINECO (ES), ANR (FR) with co-funding by the European Union (Grant 690462).",,57,4,4,3,17,ELSEVIER,AMSTERDAM,"RADARWEG 29, 1043 NX AMSTERDAM, NETHERLANDS",2212-0963,,,CLIM RISK MANAG,CLIM. RISK MANAG.,,2020,,,,,,,100253,10.1016/j.crm.2020.100253,http://dx.doi.org/10.1016/j.crm.2020.100253,,,15,Environmental Sciences; Environmental Studies; Meteorology & Atmospheric Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences,PK4RQ,33106769,"Green Published, gold",,,12/21/22,WOS:000602434600001,View Full Record in Web of Science
J,"Burke, M; Tickwell, D; Whitmarsh, L",,,,"Burke, Miriam; Tickwell, David; Whitmarsh, Lorraine",,,Participatory arts and affective engagement with climate change: The missing link in achieving climate compatible behaviour change?,GLOBAL ENVIRONMENTAL CHANGE-HUMAN AND POLICY DIMENSIONS,,,English,Article,,,,,,Participatory art; Climate change; Behaviour change; Q Methodology,Q-METHODOLOGY; PERCEPTIONS; POLICY; RISK; COMMUNICATION; INTEGRATION; APPRAISAL; ATTITUDES; SCIENCE; IMAGERY,"Despite a growing number of arts based climate change interventions and the importance emphasised in the social psychology literature of achieving affective (emotional) engagement with climate change before climate compatible behaviour change is likely, to date there has been no systematic application of interpretive social science techniques to understand the ways in which these arts based interventions do or do not achieve affective public engagement with climate change and hence might hold the key to unlocking broader climate compatible behaviour change. This article makes two key contributions.. First, it analyses the literature across social psychology and participatory arts to demonstrate why participatory, climate change based arts interventions could hold the key to more effective approaches to engaging multiple publics in climate compatible behaviour change. Second, using a small sample of participants in an arts based climate change intervention, in the Inner Hebrides, Scotland, it demonstrates the potential value of combining social science techniques (in this case Q Methodology) with participatory arts interventions to better understand and learn from the ways in which climate based arts interventions achieve affective public engagement with climate change. This raises the potential for, a significant new research and policy agenda looking forward.","[Burke, Miriam] Royal Holloway Univ London, Dept Geog, Egham, Surrey, England; [Tickwell, David] Univ Sussex, Sch Global Studies, Dept Geog, Brighton, E Sussex, England; [Whitmarsh, Lorraine] Univ Cardiff, Sch Psychol, Cardiff, S Glam, Wales",University of London; Royal Holloway University London; University of Sussex; Cardiff University,"Tickwell, D (corresponding author), Univ Sussex, Sch Global Studies, Dept Geog, Brighton, E Sussex, England.",Miriam.Burke.2013@live.rhul.ac.uk; d.ockwell@sussex.ac.uk; WhitmarshLE@cardiff.ac.uk,"Whitmarsh, Lorraine/A-1611-2010; Whitmarsh, Lorraine/AAD-3756-2019","Whitmarsh, Lorraine/0000-0002-9054-1040; Whitmarsh, Lorraine/0000-0002-9054-1040",Economic and Social Research Council [1511599] Funding Source: researchfish,Economic and Social Research Council(UK Research & Innovation (UKRI)Economic & Social Research Council (ESRC)),,,90,28,28,4,47,ELSEVIER SCI LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, OXON, ENGLAND",0959-3780,1872-9495,,GLOBAL ENVIRON CHANG,Glob. Environ. Change-Human Policy Dimens.,MAR,2018,,,,,95,105,,10.1016/j.gloenvcha.2018.02.007,http://dx.doi.org/10.1016/j.gloenvcha.2018.02.007,,,11,Environmental Sciences; Environmental Studies; Geography,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Geography,GC1AN,,Green Accepted,,,12/21/22,WOS:000429509100010,View Full Record in Web of Science
J,"Rodder, S",,,,"Roedder, Simone",,,"The Climate of Science-Art and the Art-Science of the Climate: Meeting Points, Boundary Objects and Boundary Work",MINERVA,,,English,Article,,,,,,Art-science; Boundary work; (Inhibitory) boundary object; Climate change; Artistic research,TECHNOLOGY; FEAR,"This paper reports experiences from an art-science project set up in an educational context as well as in the tradition of placing artists in labs. It documents artists' and scientists' imaginations of their encounter and analyses them drawing on the concepts of boundary object and boundary work. Conceptually, the paper argues to broaden the idea of boundary objects to include inhibitory boundary objects that hinder rather than facilitate communication across boundaries. This focus on failures to link social worlds brings the boundary object concept closer to Gieryn's boundary work and allows for a co-application of the two concepts in the analysis of cross-boundary communication. Empirically, the paper provides an in-depth ethnographic description of an art-science project as a resource for future practice. In conclusion, the art-science encounter included meeting points as well as multiple levels of boundary work which engaged the artists in a different way than as illustrators of scientific representations of climate change. The closer they got to the research practice the more the public and policy construct of climate change disappeared. Rather than political activism, the approach triggered explorations of the scientific context, including affirmative as well as critical re-imaginations of research practices. Artists and scientists acted as publics for one another, as resources to draw on for reflection and self-identification. But instead of cutting back or renegotiating standards of one's own practice, especially the artists engaged in boundary work creating space to produce a piece of art according to their own criteria of quality and relevance.","[Roedder, Simone] Univ Hamburg, Inst Sociol, Dept Social Sci, Grindelberg 5, D-20144 Hamburg, Germany",University of Hamburg,"Rodder, S (corresponding author), Univ Hamburg, Inst Sociol, Dept Social Sci, Grindelberg 5, D-20144 Hamburg, Germany.",simone.roedder@uni-hamburg.de,,,German-Research-Foundation (DFG) [DFG EXC 177 CliSAP]; Fulbright,German-Research-Foundation (DFG)(German Research Foundation (DFG)); Fulbright,"The visiting artist researcher project was supported by the German-Research-Foundation (DFG)-funded Cluster of Excellence Integrated Climate System Analysis and Prediction at the University of Hamburg (DFG EXC 177 CliSAP). The manuscript was written while the author held a Fulbright visiting scholarship at Cornell University. Discussions with Stephen Hilgartner and Bruce Lewenstein and the hospitality of Cornell's Department of Science and Technology Studies have been very important to the completion of this article. The author is grateful to Anke Allner for making science meets arts a CliSAP priority and wants to thank the project team Friedrich von Borries, Anita Engels, Nadine Fromter, Maria Gorlich, Werner Krauss and Hans von Storch, and all participating scientists and artists who made themselves available for interview. She is particularly indebted to Werner Krauss for sharing his observations from a cultural anthropologist's point of view, and for interviewing the artists, and to Maria Gorlich for support with the literature review and manuscript preparation. The author would also like to thank Markus Dressel and two referees for critical and constructive comments on the manuscript.",,63,9,9,0,24,SPRINGER,DORDRECHT,"VAN GODEWIJCKSTRAAT 30, 3311 GZ DORDRECHT, NETHERLANDS",0026-4695,1573-1871,,MINERVA,Minerva,MAR,2017,1,,,,93,116,,10.1007/s11024-016-9312-y,http://dx.doi.org/10.1007/s11024-016-9312-y,,,24,"Education & Educational Research; History & Philosophy Of Science; Social Sciences, Interdisciplinary",Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI),Education & Educational Research; History & Philosophy of Science; Social Sciences - Other Topics,EL1GB,,,,,12/21/22,WOS:000394367400005,View Full Record in Web of Science
J,"Bentz, J; O'Brien, K",,,,"Bentz, Julia; O'Brien, Karen",,,ART FOR CHANGE: Transformative learning and youth empowerment in a changing climate,ELEMENTA-SCIENCE OF THE ANTHROPOCENE,,,English,Article,,,,,,Climate change; Education; Transformative learning; Art; Adaptation; Transformation,ADAPTATION; SUSTAINABILITY; VULNERABILITY; RESILIENCE; EDUCATION; VALUES; COMMUNICATION; TEMPERATURE; CHALLENGES; PARADIGM,"Young people represent a powerful force for social change, and they have an important role to play in climate change responses. However, empowering young people to be systems changers is not straightforward. It is particularly challenging within educational systems that prioritize instrumental learning over critical thinking and creative actions. History has shown that by creating novel spaces for reflexivity and experimentation, the arts have played a role in shifting mindsets and opening up new political horizons. In this paper, we explore the role of art as a driver for societal transformation in a changing climate and consider how an experiment with change can facilitate reflection on relationships between individual change and systems change. Following a review of the literature on transformations, transformative learning and the role of art, we describe an experiment with change carried out with students at an Art High School in Lisbon, Portugal, which involved choosing one sustainable behavior and adopting it for 30 days. A transformative program encouraged regular reflection and group discussions. During the experiment, students started developing an art project about his or her experience with change. The results show that a transformative learning approach that engages students with art can support critical thinking and climate change awareness, new perspectives and a sense of empowerment. Experiential, arts-based approaches also have the potential to create direct and indirect effects beyond the involved participants. We conclude that climate-related art projects can serve as more than a form of science communication. They represent a process of opening up imaginative spaces where audiences can move more freely and reconsider the role of humans as responsible beings with agency and a stake in sustainability transformations.","[Bentz, Julia] Univ Lisbon, Fac Sci, Ctr Ecol Evolut & Environm Changes Ce3c, Lisbon, Portugal; [O'Brien, Karen] Univ Oslo, Dept Sociol & Human Geog, Oslo, Norway",Universidade de Lisboa; University of Oslo,"Bentz, J (corresponding author), Univ Lisbon, Fac Sci, Ctr Ecol Evolut & Environm Changes Ce3c, Lisbon, Portugal.",jhbentz@fc.ul.pt,"Bentz, Julia/M-3774-2015","Bentz, Julia/0000-0001-5120-9371","Research Council of Norway; University of Oslo through the Adaptation CONNECTS project [250434]; Portuguese Foundation for Science and Technology, FCT [SFRH/BPD/115656/2016]","Research Council of Norway(Research Council of Norway); University of Oslo through the Adaptation CONNECTS project; Portuguese Foundation for Science and Technology, FCT(Portuguese Foundation for Science and Technology)","This paper has been supported through funding from the Research Council of Norway, the University of Oslo through the Adaptation CONNECTS project (Project 250434) and the Portuguese Foundation for Science and Technology, FCT (reference SFRH/BPD/115656/2016).",,112,14,14,4,28,UNIV CALIFORNIA PRESS,OAKLAND,"155 GRAND AVE, SUITE 400, OAKLAND, CA 94612-3758 USA",2325-1026,,,ELEMENTA-SCI ANTHROP,Elementa-Sci. Anthrop.,19-Dec,2019,,,,,,,52,10.1525/elementa.390,http://dx.doi.org/10.1525/elementa.390,,,19,Environmental Sciences; Meteorology & Atmospheric Sciences,Science Citation Index Expanded (SCI-EXPANDED); Social Science Citation Index (SSCI),Environmental Sciences & Ecology; Meteorology & Atmospheric Sciences,JZ5OV,,"gold, Green Published",,,12/21/22,WOS:000505152300002,View Full Record in Web of Science
J,"Ture, C",,,,"Ture, Cengiz",,,THE ROLE OF VISUAL ARTS ON SOCIAL PERCEPTION ABOUT GLOBAL CLIMATE CHANGE,ANADOLU UNIVERSITESI SANAT & TASARIM DERGISI-ANADOLU UNIVERSITY JOURNAL OF ART & DESIGN,,,Turkish,Article,,,,,,Science; Ecology; Global Climate Change; Global Warming; Visual Arts,,"Increasing the awareness level of individuals and the society are closely related to fight with global warming and climate change. Although reliable information can only be obtained by scientific way in any period of humanity, it is hard to say that awareness level of the people about the climate changes increased enough. In this study, it was tried to investigate some visual art works that focusing on global climate change and their influence on the social awareness.","[Ture, Cengiz] Anadolu Univ, Fen Fak, Biyol Bolumu, Ekol Anabilim Dali, Eskisehir, Turkey",Anadolu University,"Ture, C (corresponding author), Anadolu Univ, Fen Fak, Biyol Bolumu, Ekol Anabilim Dali, Eskisehir, Turkey.",cture@anadolu.edu.tr,"Türe, Cengiz/ABB-6614-2021",,,,,,31,0,0,0,2,ANADOLU UNIV,ESKISEHIR,"INST FINE ARTS, ESKISEHIR, 26470, TURKEY",2146-7692,,,ANADOLU UNIV SANAT T,Anadolu Univ. Sanat Tasar. Derg.-Anadolu Univ. J. Art Des.,JUN,2014,6,,,,224,239,,,,,,16,Art,Emerging Sources Citation Index (ESCI),Art,VC9DG,,,,,12/21/22,WOS:000435155100015,View Full Record in Web of Science
J,"Kim, S",,,,"Kim, Sunhee",,,Art therapy development in Korea: The current climate,ARTS IN PSYCHOTHERAPY,,,English,Article,,,,,,Art therapy in Korea; Educational programs of art therapy in Korea; Globalization of art therapy; Cross-cultural issues,,"This brief article presents the art therapy development in Korea and the current climate for providing updated information on art therapy in Korea, where art therapy is becoming in high demand in the field of mental health. It is also for encouraging other art therapists around the world to exchange information, support educational program development, collaborate on research, and connect with professionals in neighboring nations. Korean art therapy has been developed over the past 10 years to include 10 graduate-level schools, 5 undergraduate schools, 14 continuing education programs, and 6 associations. Well-educated and prepared art therapists all over the world are needed not only in their own communities and countries but also in other countries. For the art therapy profession, we need to support educational program development, wherever there are demands for art therapy, providing human services through the creative process. (C) 2009 Elsevier Inc. All rights reserved.","[Kim, Sunhee] Seoul Womens Univ, Seoul, South Korea",Seoul Women's University,"Kim, S (corresponding author), 2100 Linwood Ave 18R, Ft Lee, NJ 07024 USA.",shk0612@gmail.com,,,,,,,8,7,7,3,12,PERGAMON-ELSEVIER SCIENCE LTD,OXFORD,"THE BOULEVARD, LANGFORD LANE, KIDLINGTON, OXFORD OX5 1GB, ENGLAND",0197-4556,1873-5878,,ART PSYCHOTHER,Arts Psychother.,FEB,2009,1,,,,1,4,,10.1016/j.aip.2008.12.004,http://dx.doi.org/10.1016/j.aip.2008.12.004,,,4,"Psychology, Clinical; Rehabilitation",Social Science Citation Index (SSCI); Arts &amp; Humanities Citation Index (A&amp;HCI),Psychology; Rehabilitation,414XY,,,,,12/21/22,WOS:000263899700001,View Full Record in Web of Science
